date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:52:21	109/109	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Dec%202024%2015:52:20%20GMT	https://codmgifted.com/robots.txt		(from )
16:52:21	17428/17428	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202024%2012:21:26%20GMT	https://codmgifted.com/coodm/	C:/My%20Web%20Sites/codm/codmgifted.com/coodm/index.html	(from )
16:52:21	563624/563624	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266ebebc6-899a8%22	https://codmgifted.com/coodm/js/gtm.js	C:/My%20Web%20Sites/codm/codmgifted.com/coodm/js/gtm.js	(from https://codmgifted.com/coodm/)
16:52:22	3752/3752	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266ebebc6-ea8%22	https://codmgifted.com/coodm/js/gtmLayer.js	C:/My%20Web%20Sites/codm/codmgifted.com/coodm/js/gtmLayer.js	(from https://codmgifted.com/coodm/)
16:52:22	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2025%20Dec%202024%2015:52:22%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/codm/www.googletagmanager.com/gtm.25445.delayed	(from https://codmgifted.com/coodm/)
16:52:23	484/484	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266ebebc6-1e4%22	https://codmgifted.com/coodm/js/font-loader.js	C:/My%20Web%20Sites/codm/codmgifted.com/coodm/js/font-loader.js	(from https://codmgifted.com/coodm/)
16:52:23	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2266ebebc8-47e%22	https://codmgifted.com/coodm/favicon.ico	C:/My%20Web%20Sites/codm/codmgifted.com/coodm/favicon.ico	(from https://codmgifted.com/coodm/)
16:52:23	870/870	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266ebebc6-366%22	https://codmgifted.com/coodm/js/api.js	C:/My%20Web%20Sites/codm/codmgifted.com/coodm/js/api.js	(from https://codmgifted.com/coodm/)
16:52:23	372/372	---MCZ	200	added ('OK')	text/css	etag:W/%2266ebebc6-174%22	https://codmgifted.com/coodm/css/preload.css	C:/My%20Web%20Sites/codm/codmgifted.com/coodm/css/preload.css	(from https://codmgifted.com/coodm/)
16:52:24	9021/9021	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266ebebc6-233d%22	https://codmgifted.com/coodm/js/modernizr-1.7.min.js	C:/My%20Web%20Sites/codm/codmgifted.com/coodm/js/modernizr-1.7.min.js	(from https://codmgifted.com/coodm/)
16:52:24	870/870	---MC-	200	added ('OK')	text/javascript	date:Wed,%2025%20Dec%202024%2015:52:24%20GMT	https://www.google.com/recaptcha/api.js	C:/My%20Web%20Sites/codm/www.google.com/recaptcha/api.js	(from https://codmgifted.com/coodm/)
16:52:25	929/929	---MC-	200	added ('OK')	text/javascript	date:Wed,%2025%20Dec%202024%2015:52:24%20GMT	https://www.google.com/recaptcha/api.js?onload=onloadCallback&render=explicit	C:/My%20Web%20Sites/codm/www.google.com/recaptcha/api85f1.js	(from https://codmgifted.com/coodm/)
16:52:25	387784/387784	---MCZ	200	added ('OK')	text/css	etag:W/%2266ebebc8-5eac8%22	https://codmgifted.com/coodm/css/common-site-updated.css	C:/My%20Web%20Sites/codm/codmgifted.com/coodm/css/common-site-updated.css	(from https://codmgifted.com/coodm/)
16:52:25	20035/20035	---MCZ	200	added ('OK')	text/css	etag:W/%2266ebebc6-4e43%22	https://codmgifted.com/coodm/css/sso-media-queries.css	C:/My%20Web%20Sites/codm/codmgifted.com/coodm/css/sso-media-queries.css	(from https://codmgifted.com/coodm/)
16:52:26	19605/19605	---MCZ	200	added ('OK')	text/css	etag:W/%2266ebebc6-4c95%22	https://codmgifted.com/coodm/css/responsive-site.css	C:/My%20Web%20Sites/codm/codmgifted.com/coodm/css/responsive-site.css	(from https://codmgifted.com/coodm/)
16:52:26	1793/1793	---MCZ	200	added ('OK')	text/css	etag:W/%2266ebebc6-701%22	https://codmgifted.com/coodm/css/sso-site-specific.css	C:/My%20Web%20Sites/codm/codmgifted.com/coodm/css/sso-site-specific.css	(from https://codmgifted.com/coodm/)
16:52:26	325107/325107	---MCZ	200	added ('OK')	text/css	etag:W/%2266ebebc8-4f5f3%22	https://codmgifted.com/coodm/css/site.css	C:/My%20Web%20Sites/codm/codmgifted.com/coodm/css/site.css	(from https://codmgifted.com/coodm/)
16:52:26	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Dec%202024%2015:52:26%20GMT	https://codmgifted.com/coodm/6a2de6aa	C:/My%20Web%20Sites/codm/codmgifted.com/coodm/6a2de6aa	(from https://codmgifted.com/coodm/)
16:52:28	284183/284183	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266ebebc6-45617%22	https://codmgifted.com/coodm/js/jquery-1.11.2.js	C:/My%20Web%20Sites/codm/codmgifted.com/coodm/js/jquery-1.11.2.js	(from https://codmgifted.com/coodm/)
16:52:28	63501/63501	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266ebebc6-f80d%22	https://codmgifted.com/coodm/js/sso.bar.js	C:/My%20Web%20Sites/codm/codmgifted.com/coodm/js/sso.bar.js	(from https://codmgifted.com/coodm/)
